Ten,Dia chi,Loai,So dien thoai,Hinh anh,Link Anh Goc,Gioi thieu,Website,Lat,Lng,Tu khoa goc
Phòng Hộ Tịch - Quốc Tịch,"Sở Tư Pháp, 141-143, Pasteur, Phường 6, Quận 3, Thành Phố Hồ Chí Minh, 214 Nam Kỳ Khởi Nghĩa, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Sở tư pháp,+84 28 3825 1402,downloaded_images\35717526948dfd106f1856ceb59529d1.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwnaiNjN4g3w-c2rSKHU4hmItKl9Jgzn9tfXqlhZYDt60SzkgDuw9zvHTZ0kUt_UmnitExF4h7Jp5A2ns3d77vptx7GXWdUBHtL92Fz6qBLSk1L_PO5T0dMMp4bftGXJLHGacE=w80-h177-k-no,Không có,Không có,10.7835839,106.691627,Sở Tư pháp TPHCM
Phòng Tư Pháp Quận Bình Tân,"Ủy Ban Nhân Dân, 521 Đ. Kinh Dương Vương, An Lạc, Bình Tân, Thành phố Hồ Chí Minh 70000, Việt Nam",Phòng tư pháp quận,+84 28 3875 2406,downloaded_images\efc7a7b73e8187cc811054afd100b3e1.jpg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wBOVzd9fd8h6dst8IBY4qg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=181.5033&pitch=0&thumbfov=100,Không có,Không có,10.7370556,106.6150272,Sở Tư pháp TPHCM
Trung tâm Thông tin và tư vấn công chứng,"25/5 Hoàng Việt, Phường 4, Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Sở tư pháp,+84 28 3811 5818,downloaded_images\e3d7df1049229ff4cca0a4e70d55532b.jpg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VHUhgzgYLSudKQZGXrikVA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=89.2793&pitch=0&thumbfov=100,Không có,Không có,10.7950313,106.65977819999999,Sở Tư pháp TPHCM
Phòng Tư Pháp,"175B Đ. Nguyễn Văn Trỗi, Phường 11, Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Văn phòng chính phủ,Không có,downloaded_images\c61a9da7fca35797489fb11807893f27.jpg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=prqhJXBhD1DtPcvIBp_LNw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=299.20306&pitch=0&thumbfov=100,Không có,Không có,10.7941342,106.67589579999999,Sở Tư pháp TPHCM
Văn phòng Bộ Tư pháp tại TP. Hồ Chí Minh,"200c Võ Văn Tần, Phường 5, Quận 3, Thành phố Hồ Chí Minh 70052, Việt Nam",Văn phòng chính phủ khu vực,+84 28 3818 1995,downloaded_images\bf09251c64301fe6b6ac1c1cfde7f1ca.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzbeDw8d1Pa8YtKLASW7zPRIZVYAlKg99x-Zoly3YZa18Bn8AkAhRpxVnk56Yw80acynMNJlODknbt9Ns7oCSVa58O_sMhEjEsHFZV7fQthkr11iktSw_CCu4sgNiptRanhg5RW=w138-h92-k-no,Không có,Không có,10.773678799999999,106.6867482,Sở Tư pháp TPHCM
Trung tâm dịch vụ bán đấu giá tài sản,"19/5 Hoàng Việt, Phường 4, Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Sở tư pháp,+84 28 3811 9849,downloaded_images\1e00a9ac60aec7084225764ff13869d3.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzb9bdcKXdZI3TZl7p1BeNCzGHf5c9Hg-qCTRzl9Eet_vvF8IIkAY51xXK5RgKFMStW-jIVDMARBJiDRVZb2VIU-VH_yX9aPHVVsOJ4vXCbqXKJu1K5Ih3ONZUweroQquQ2cOEVJMoIe3xL=w80-h106-k-no,Không có,https://sotuphap.hochiminhcity.gov.vn/gt-bdgts,10.7964883,106.6602238,Sở Tư pháp TPHCM
Phòng Tuyên Truyền,"Sở Tư Pháp, 141-143, Pasteur, Phường 6, Quận 3, Thành Phố Hồ Chí Minh, Việt Nam",Văn phòng chính quyền địa phương,Không có,downloaded_images\2409b164d6667cba079e424adf73f796.jpg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RYmhAon7Ql5GJSrY9HdOPA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=284.79593&pitch=0&thumbfov=100,Không có,Không có,10.7843219,106.6915082,Sở Tư pháp TPHCM
Đội Quản lý Thi Hành Án Dân Sự Quận Tân Phú,"320/21 Đ. Độc Lập, Tân Quý, Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",Sở tư pháp,+84 28 3847 4169,downloaded_images\bfb47e9b6e375478a447e8427161cd66.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyuUdbKZbTtZ47scUdsLvW0T5ALSuwdNMcfK3Hx_57MRjvSPR3zVCJsHD0jVn9-3SSMcX2eMNeX2w5CNPl61e8KQIDi56U6qKpdqjMGhjPMDoVTGt0xgz-mFCV_uh3vmgnaR-B9qyCQEFRE=w80-h106-k-no,Không có,Không có,10.793925,106.62639589999999,Sở Tư pháp TPHCM
Luật Sư Thế,"QGQX+89V, Đ. Vĩnh Lộc, Vĩnh Lộc B, Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",Sở tư pháp,+84 938 190 258,Không có,,Không có,http://www.hcmcbar.org/,10.7883675,106.54841119999999,Sở Tư pháp TPHCM
Tổng Lãnh sự quán Đức tại Tp. Hồ Chí Minh,"33 Lê Duẩn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,+84 28 3828 8100,downloaded_images\f251a9625fcc7db1e14b8a2fc60f7004.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy241y5futSUEB-sksq6pBguM8pqhSjWImC-Yc-hqB2oCa31jY9BqXnPTRnQObO9gOYByip5uVr_LDcuh-SBbmuBf0nPfc0f1Iuxi84Pon88IH7QOFx99--jTsYHJfMP6_-z3o=w122-h92-k-no,Không có,/url?q=http://vietnam.diplo.de/&opi=79508299&sa=U&ved=0ahUKEwiL1oP2sKiRAxUsIEQIHdtrM3sQ61gIHigR&usg=AOvVaw3sP9fzqdIzzpdKyfC8by0n,10.782295999999999,106.7007338,Danh sách Lãnh sự quán tại TPHCM
Tổng Lãnh sự quán Hoa Kỳ,"4 Lê Duẩn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,+84 28 3520 4200,downloaded_images\aaa643fa75255ee763209dba62c44892.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxGDE2vlnyqXXBOp3xvMS5PeZqtpnwUhgZOI52u2hJXl70vcSKtdeheThZJ4Zn690uBgRF_hqpkUn1OlYIp895tkbETI3Z7IfTxXi0XES9QzwEhYOZgRZHqxSp6QfOb8ILC3-6z=w147-h92-k-no,Không có,Không có,10.7834782,106.7006011,Danh sách Lãnh sự quán tại TPHCM
Tổng Lãnh Sự Quán Pháp,"27 Nguyễn Thị Minh Khai, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,+84 28 3520 6800,downloaded_images\8cbe6a84a4effebf60f9564e9f2debf5.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz8O3pn7MipvPFMAQskz8SsN_tprgMje6RXdjc0eGEKecKPWyJHqmeTXU-sutPS5it_PqPXOc_y-RM2kmBsdPnklnPxut9_ZEBRTHUP-YDmqbZWeO1hY9B8YzWfvWIrMrr8yb4w=w122-h92-k-no,Không có,/url?q=https://ho-chi-minh-ville.consulfrance.org/&opi=79508299&sa=U&ved=0ahUKEwiL1oP2sKiRAxUsIEQIHdtrM3sQ61gIXSgR&usg=AOvVaw3a8EeXkg3_fgY045tO_-_P,10.7832875,106.6986484,Danh sách Lãnh sự quán tại TPHCM
Tổng Lãnh Sự Quán Vương Quốc Hà Lan,"29 Lê Duẩn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,+84 28 3823 5932,downloaded_images\654db78ab87f36acca581831f7035b2f.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz5elx1wK8quUw57B30diFY0CCdIzCgDRUhM3I1iMCUjCKa8qoPavGrIFVtP1XSjqXAkX3v5juk8ZG0vi6TtMirmCjVK-DBxaTV8AFmK6vpkwbAwpEMoUnJVdDgyOrBS4W9lnPQ=w154-h92-k-no,Không có,Không có,10.7826872,106.7011895,Danh sách Lãnh sự quán tại TPHCM
Lãnh sự quán Lào,"93 Pasteur, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,+84 28 3829 7667,downloaded_images\4d43392b84e4d137f168450927fcd95a.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw25mJWhOqWziD-XkHDOTxmPue4cMd9RUQWB0DacX-556JP5QhXup-t3BDLp4MhwwQEKYko4EOYS2DQeIbcAzzhmH7eyalWyp5D-TOjh4KzTr4ahaeFG7NxkR7r4PGs81me1Vlr=w122-h92-k-no,Không có,/url?q=http://www.chinhphu.vn/portal/page/portal/English/foreignembassies/detail%3FdiplomacyNationId%3D424%26diplomacyZoneId%3D105&opi=79508299&sa=U&ved=0ahUKEwiL1oP2sKiRAxUsIEQIHdtrM3sQ61gInAEoEQ&usg=AOvVaw3RegLjseE9EySiQgfEp9vN,10.7772391,106.6991053,Danh sách Lãnh sự quán tại TPHCM
Tổng Lãnh Sự Quán Mỹ Tại Thành Phố Hồ Chí Minh,"4 Lê Duẩn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,Không có,downloaded_images\df92f1c5e9d7ee90e10bb06cdfa1fc70.jpg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-iBcicjTRuD0TMbV0HL1Eg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=308.34543&pitch=0&thumbfov=100,Không có,Không có,10.787084,106.7042926,Danh sách Lãnh sự quán tại TPHCM
Tổng lãnh sự quán Trung Quốc,"175 Hai Bà Trưng, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,+84 28 3829 2459,downloaded_images\787994fb881e3b30dbd872fc04b5c894.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw_zcIMP6EJDm15flAwBhTUf8fFUj1l7ma7UZVKxqwMebxzrufHY_aRwtlHJjHVK_hJSixPbzvmnslrFtwAA5Xun7HYqmh79CnneMT940m6OQmiCsCSUHKFv19iLB1Ghb8DvsYy=w163-h92-k-no,Không có,/url?q=https://hochiminhcity.china-consulate.gov.cn/&opi=79508299&sa=U&ved=0ahUKEwiL1oP2sKiRAxUsIEQIHdtrM3sQ61gI1wEoEQ&usg=AOvVaw2mfqwKSPSDuMhbPY4-bAES,10.7851161,106.6951675,Danh sách Lãnh sự quán tại TPHCM
Tổng Lãnh Sự Quán Úc,"Tòa nhà Vincom, 47 Lý Tự Trọng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,+84 28 3521 8100,downloaded_images\c67d3cdfdbbd03633917f77b4fe04e17.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxwbh506yjT7xiv-sdod7HXjzasLYw-XGVw14fO3FbEsM8fzMr_1cAscqRyIwkZdpfsj5Jq41vUOq8CD6qsmuDUzuUJRSLrdT_r2wZchdeMKgm4JfFBit3uAsACdf0DXKvHQYzt=w80-h120-k-no,Không có,/url?q=http://hcmc.vietnam.embassy.gov.au/&opi=79508299&sa=U&ved=0ahUKEwiL1oP2sKiRAxUsIEQIHdtrM3sQ61gI9wEoEQ&usg=AOvVaw3ZYVXbZTIfEKFDfVWhi6ld,10.7780495,106.7017714,Danh sách Lãnh sự quán tại TPHCM
Tổng Lãnh sự quán Liên bang Nga tại TP. Hồ Chí Minh,"40 Bà Huyện Thanh Quan, Phường 6, Quận 3, Thành phố Hồ Chí Minh 70215, Việt Nam",Tòa lãnh sự nước ngoài,+84 28 3930 3936,downloaded_images\0b78ff75012db79cdded9742dc9605c7.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzUx0hjQO3wELAhb00mO6d3U6EDnWZetBk4RykMs5DAZglXCcQsoZkEXlD0ajn47tFXfu6KjQ68UdM3fJxpaWrXDnUMyWZuHoyWZYvwtUEMXVLvX5NLkLWIjw_PWoIQIxFKGz6IvA=w122-h92-k-no,Không có,/url?q=https://www.facebook.com/RusConsulGenHCMC&opi=79508299&sa=U&ved=0ahUKEwiL1oP2sKiRAxUsIEQIHdtrM3sQ61gIlwIoEQ&usg=AOvVaw2r9rTGODlIlWHQtCq7qC5s,10.7775505,106.6878981,Danh sách Lãnh sự quán tại TPHCM
Lãnh sự quán Bồ Đào Nha tại Tp. Hồ Chí Minh,"151 Nam Kỳ Khởi Nghĩa, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,+84 28 3930 9608,downloaded_images\20b4eca7bc85fb37646e94d6b111e997.jpg,https://lh3.googleusercontent.com/p/AF1QipOvlv3W8P0M89NyRkh6k8tPxChic6RyvVroQb-d=w122-h92-k-no,Không có,/url?q=http://www.portviet.org/&opi=79508299&sa=U&ved=0ahUKEwiL1oP2sKiRAxUsIEQIHdtrM3sQ61gItwIoEQ&usg=AOvVaw3PlgY7i3NgWK11DahP8Bdx,10.7818089,106.6922645,Danh sách Lãnh sự quán tại TPHCM
Lãnh sự Quán Danh dự Áo,"118/40 Nguyễn Văn Hưởng, Thảo Điền, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,+84 28 3519 3128,downloaded_images\f2f3604eb7e3b1f18f6bc353150084c6.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxtYD89eUarZBdV5IMj4nme-Ay7HZhOI5yH6oO1gErjjM9jMZnwtR5Wc7ocEna1xLPQrxd2sICl3kKxIDAC78DTdnsSInWDhJQGZG3ogumubq38LEeHDDKZwYSaTrqaGXQyorfx=w80-h142-k-no,Không có,/url?q=https://www.bmeia.gv.at/vi/oeb-hanoi/bilaterale-beziehungen/oesterreichische-stellen/&opi=79508299&sa=U&ved=0ahUKEwiL1oP2sKiRAxUsIEQIHdtrM3sQ61gI1gIoEQ&usg=AOvVaw22Eas-Mch9XloInpvsBWlu,10.808749299999999,106.7269223,Danh sách Lãnh sự quán tại TPHCM
Tổng lãnh sự quán Indonesia tại TP Hồ Chí Minh,"18 Phùng Khắc Khoan, Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Văn phòng chính phủ,+84 28 3825 1888,downloaded_images\1b2cd20314f48ec11b972f3ac7633982.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzBaSo6IpkU9PZRlTFmjeJbv5Tu53aieJD5-IsDCKmGZjEhlfuZy7BprSkVmtLAK-HasxtiH96C5BhnyQrdXwAObqDSSuMG8gHe8vqGb3QtOQP_5YUTfejzseQWzMDb0tG7oyynmA=w163-h92-k-no,Không có,/url?q=https://kemlu.go.id/hochiminhcity&opi=79508299&sa=U&ved=0ahUKEwiL1oP2sKiRAxUsIEQIHdtrM3sQ61gI9QIoEQ&usg=AOvVaw3LNBgLq1TiuILMxIF7tH14,10.7852743,106.6973197,Danh sách Lãnh sự quán tại TPHCM
Tổng lãnh sự quán Hàn Quốc,"107 Nguyễn Du, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,+84 28 3822 5757,downloaded_images\fe9c8564edde52840b82b6e147af1e72.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyMhhjlv3Naxmmss91F6WdyZgeFIsmULKiaTAib8RWGnnNbW75iiix2DuXKy3zLuSXlRKNVZ07StDm8ooW5T76QbT19T5jaqgecbJV-IhhiNEHeTE4SFRmsoTG_DbR8cXq3PO8Sqg=w122-h92-k-no,Không có,Không có,10.7743367,106.6957231,Danh sách Lãnh sự quán tại TPHCM
Tổng Lãnh Sự Quán Thái Lan,"77 Trần Quốc Thảo, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh 700000, Việt Nam",Tòa lãnh sự nước ngoài,+84 28 3932 7638,downloaded_images\2c1d4c15f0d5e75e41d672a3b54a1cc8.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwgFzEjiCnoL1RtFYt8tuepNlkYm1SFe66KijUziz-Ku2fKNArvBHJseXHWHnvOqbn2071f5DTnXAKCW823HtSc9FFrkp7fpg5oN8KnwCVxcKT6pvfKoiL5dQWGkz7uTo9OSTHj7g=w122-h92-k-no,Không có,/url?q=http://www.thaiembassy.org/hochiminh&opi=79508299&sa=U&ved=0ahUKEwiL1oP2sKiRAxUsIEQIHdtrM3sQ61gItAMoEQ&usg=AOvVaw0L5DaoZlA9PqjD7z27I2OW,10.7815654,106.68758989999999,Danh sách Lãnh sự quán tại TPHCM
Tổng Lãnh Sự Quán Malaysia,"109 Nguyễn Văn Hưởng, Thảo Điền, Thủ Đức, Thành phố Hồ Chí Minh 71107, Việt Nam",Tòa lãnh sự nước ngoài,+84 28 3829 9023,downloaded_images\deffdd3b6e279b2e4b1bac16a456acc2.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxGsslsMvfmMJy683C9R8YWvVoapELzYZAI4TQI4FWNx6vNMQq7rZxwNSg70vQ9JC26mectqwl8suBBtYOtwlRcida7ITfHkL4lTIbf0sms1rJM-0S1xmxoLTM91GBua7FASUSt=w122-h92-k-no,Không có,/url?q=https://www.kln.gov.my/web/vnm_ho-chi-minh-city%3Ffbclid%3DIwAR3ToKQLvkDdev9b_BrDLCEzJCWnp8YGyX8EUxJa0vMjf2JPJht0tY5EN9g&opi=79508299&sa=U&ved=0ahUKEwiL1oP2sKiRAxUsIEQIHdtrM3sQ61gI1AMoEQ&usg=AOvVaw1ARzzW62aslXKI_mMtrZ3w,10.8072085,106.7253595,Danh sách Lãnh sự quán tại TPHCM
Tổng Lãnh sự quán Nhật Bản tại TP.HCM,"261 Điện Biên Phủ, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,+84 28 3933 3510,downloaded_images\b577462c9c89e0a79c1c2091cdb1e255.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw7oecMGCE-n7XWc6uGcQabn7bPeKfAHZLHSg64QllxuJNkM1Oy99abCs1kGHGXTy3l-Mu5SovE9cY77Cn7zkqwsORBMK_0WRPAtToiXC7gumzf_D2UIQEXkUn-JdIavD_pZ0A9=w122-h92-k-no,Không có,/url?q=https://www.hcmcgj.vn.emb-japan.go.jp/itprtop_ja/index.html&opi=79508299&sa=U&ved=0ahUKEwiL1oP2sKiRAxUsIEQIHdtrM3sQ61gI9AMoEQ&usg=AOvVaw06ORojJQXNnCO1jNIQWxd3,10.78121,106.68893299999999,Danh sách Lãnh sự quán tại TPHCM
Lãnh sự Danh dự nước Cộng hòa Nam Phi,"19 Phùng Khắc Khoan, Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,+84 28 3823 8556,downloaded_images\9eda246c92b0654f08da65ea5a002f12.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzGO8DGxRi3ieW7IlKfbHkrBvafxGMKfcUawDxC3r8r1XYUkK0WS8eDus5aT_lq-HdMJShH8qTNrj-RW7wKvCmcpIUshnzXmFOIRqvBnJxg6hii-L7gtykMOAkfOsQBuT7lfLo=w104-h92-k-no,Không có,Không có,10.7847628,106.6975793,Danh sách Lãnh sự quán tại TPHCM
Lãnh sự quán Rumani tại Thành phố Hồ Chí Minh,"214 Võ Thị Sáu, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Tòa lãnh sự nước ngoài,+84 28 3989 8989,downloaded_images\f9118cc243775bbaf5d708140187d81d.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxLEJ06H9zw79ZBYSpOMeSlNCO7lBQsT1k3UAdxaPBdW81ggnkNRWxP7R7EGP5WO4BjIY6FeByDwFw2YqXT9ad0LhG_BUu8SatXba3z4fyVhEYneS_LJFDM-VxSdYzNFjwggCqR=w163-h92-k-no,Không có,Không có,10.783123,106.686955,Danh sách Lãnh sự quán tại TPHCM
Tổng Lãnh Sự Quán Hungary,"9-11 Tôn Đức Thắng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam",Tòa lãnh sự nước ngoài,+84 28 3622 1001,downloaded_images\d3bac6522e788074cf1fe3a7ed200d23.jpg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwyDJcNc3CBQAPvMfPsW6_l-mZMjJO4S7y89iXosqO8zM1bpNhQURVsO2LMeSdZ_u5_SoAOWrL9YgrjTGuK5FmE-KDa6uIDmyMLBjlLmmsvbU2XP5A2iPnZB0P4YwJO758GZrd5BA=w122-h92-k-no,Không có,Không có,10.781797,106.706188,Danh sách Lãnh sự quán tại TPHCM
